CommitteeID,CommitteeName,ContributedBy,RcvdDate,Amount,LoanAmount,Occupation,Employer,Address1,Address2,City,State,Zip,D2Part,Description,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorZip,DocName,Election,RptPdBegDate,RptPdEndDate,FiledRcvdDate
19152,"Cicero Voters Alliance (The Larry Dominick Team)","Monterrey Security Consultants, Inc","8/8/2016",1000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2016","9/30/2016","10/17/2016"
19152,"Cicero Voters Alliance (The Larry Dominick Team)","Monterrey Security Consultants, Inc","9/5/2015",1000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2015","9/30/2015","10/15/2015"
19152,"Cicero Voters Alliance (The Larry Dominick Team)","Monterrey Security Consultants, Inc","8/1/2014",2000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2014","9/30/2014","4/15/2015"
19152,"Cicero Voters Alliance (The Larry Dominick Team)","Monterrey Security Consultants, Inc","8/12/2013",1000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2013","9/30/2013","7/15/2014"
19152,"Cicero Voters Alliance (The Larry Dominick Team)","Monterrey Security Consultants, Inc","8/20/2012",1000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2012","9/30/2012","2/14/2013"
22443,"Citizens for Jesus Garcia","Monterrey Security Consultants, Inc","9/29/2011",1000,0,"","","2232 South Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2011","9/30/2011","12/30/2011"
14093,"Citizens for Steve Landek","Monterrey Security Consultants, Inc","9/23/2010",2000,0,"","","2232 South Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Semiannual","       ","7/1/2010","12/31/2010","1/13/2011"
34964,"Latino Leadership Council","Monterrey Security Consultants, INC","10/4/2023",2500,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2023","12/31/2023","1/14/2024"
34964,"Latino Leadership Council","Monterrey Security Consultants, INC","12/29/2022",5000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2022","12/31/2022","1/16/2023"
34964,"Latino Leadership Council","Monterrey Security Consultants, INC","7/15/2022",5000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2022","9/30/2022","10/8/2022"
34964,"Latino Leadership Council","Monterrey Security Consultants, INC","3/5/2020",2500,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2020","3/31/2020","4/15/2020"
32748,"Friends for Frank DeSimone","Monterrey Security Consultants, Inc.","6/25/2025",1500,0,"","","2232 S. Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2025","6/30/2025","7/2/2025"
22755,"Chicago Latino Public Affairs Committee","Monterrey Security Consultants, Inc.","7/7/2023",1500,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2023","9/30/2023","1/16/2024"
22755,"Chicago Latino Public Affairs Committee","Monterrey Security Consultants, Inc.","1/7/2022",2000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2022","3/31/2022","11/15/2022"
32778,"Friends of Eira","Monterrey Security Consultants, Inc.","3/31/2020",1000,0,"","","2232 S Blue Island Ave","","Chicago","IL","60608-4412","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2020","3/31/2020","4/15/2020"
19319,"Friends of Dart","Monterrey Security Consultants, Inc.","9/23/2016",1000,0,"","","2232 South Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2016","9/30/2016","10/17/2016"
22126,"Friends of Jeffrey Tobolski","Monterrey Security Consultants, Inc.","8/29/2015",1000,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2015","9/30/2015","10/13/2015"
18308,"Friends for Susana Mendoza","Monterrey Security Consultants, Inc.","6/30/2015",10800,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2015","6/30/2015","7/13/2015"
22126,"Friends of Jeffrey Tobolski","Monterrey Security Consultants, Inc.","5/3/2015",500,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2015","6/30/2015","8/11/2015"
26197,"Friends of Patrick D Thompson for Alderman","Monterrey Security Consultants, Inc.","3/23/2015",1500,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2015","3/31/2015","6/15/2015"
22126,"Friends of Jeffrey Tobolski","Monterrey Security Consultants, Inc.","10/15/2014",1000,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2014","12/31/2014","1/29/2015"
18308,"Friends for Susana Mendoza","Monterrey Security Consultants, Inc.","7/14/2014",3500,0,"","","2232 S. Blue Island Ave","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2014","9/30/2014","10/8/2014"
24331,"Latino Political Action Committee of Illinois","Monterrey Security Consultants, Inc.","4/24/2014",1000,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2014","6/30/2014","7/15/2014"
20809,"Friends for Proco Joe Moreno","Monterrey Security Consultants, Inc.","10/15/2013",3000,0,"","","2232 S. Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2013","12/31/2013","8/7/2021"
23775,"Friends of Tabares","Monterrey Security Consultants, Inc.","1/29/2013",1000,0,"","","2232 S. Blue Island","","chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2013","3/31/2013","10/15/2013"
20809,"Friends for Proco Joe Moreno","Monterrey Security Consultants, Inc.","7/19/2012",2500,0,"","","2232 S. Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2012","9/30/2012","4/25/2013"
